ID,time of measurement (min),time (min),time2,fw length (mm),hw length (mm),fw area,hw area 
s01_07June2017_first,15,0,15,33.5,28.3,142.446,379.404
,,5,20,35.7,31.4,269.132,421.521
,,10,25,38.5,34.3,312.496,520.896
,,15,30,40.3,36.9,324.625,554.482
,,28,43,44.6,43.3,317.32,349.214
,,31,46,45.6,43.5,321.318,320.32
,,38,53,46.5,43.4,NaN,NaN
s02_07June2017_second,10,0,10,25.3,20.6,NaN,93.501
,,8,18,26.4,20.4,NaN,157.845
,,12,22,27.8,20.7,NaN,245.598
,,17,17,32.0,23.2,NaN,245.998
,,22,32,37.2,30.1,227.94,400.577
,,27,37,38.9,33.0,263.764,546.926
,,32,42,46.2,43.9,336.185,527.015
,,40,50,45.7,42.9,312.872,600.773
,,46,56,46.1,44.0,309.953,412.14
,,52,62,45.8,43.8,294.243,265.959
s03_07June2017_third,10,0,10,24.6,17.7,NaN,135.432
,,5,15,28.0,19.3,130.123,202.128
,,10,20,32.7,24.4,204.621,314.55
,,15,25,41.1,30.4,291.6,469.308
,,20,30,42.8,36.0,325.918,534.333
,,25,35,44.1,41.1,357.084,656.789
,,30,40,47.6,46.6,338.079,611.649
,,35,45,45.6,45.1,328.059,484.535
,,40,50,46.7,43.7,345.297,434.594
,,48,58,44.4,43.1,NaN,NaN
,,50,60,46.2,43.4,NaN,NaN
s04_08June2017_first,5,0,5,21.2,19.3,NaN,126.729
,,4,9,26.1,20.3,NaN,169.258
,,9,14,27.7,22.2,148.937,227.364
,,14,19,30.3,26.4,189.815,372.048
,,19,24,37.2,31.5,268.814,555.301
,,24,29,38.6,35.2,287.524,525.215
,,27,32,42.3,41.6,NaN,NaN
s05_08June2017_second,0,0,0,16.0,14.7,NaN,104.301
,,5,5,18.1,16.7,NaN,149.471
,,15,15,25.5,21.7,159.936,293.165
,,20,20,30.7,26.4,188.757,410.621
,,25,25,36.3,32.2,214.883,440.221
,,36,36,43.7,40.8,260.137,480.002
,,42,42,42.8,40.1,317.039,511.221
s06_08June2017_third,5,0,5,21.0,17.3,NaN,65.32
,,5,10,21.7,17.9,NaN,102.8
,,10,15,24.4,19.6,NaN,147.784
,,14,19,26.8,19.7,105.046,177.467
,,19,24,30.7,24.2,207.389,314.432
,,25,30,41.6,34.4,298.106,491.374
,,31,36,47.0,43.3,395.814,657.073
,,49,54,46.1,44.4,345.773,536.451
s07_08June2017_fourth,5,0,5,24.6,20.4,NaN,159.736
,,4,9,25.6,20.1,NaN,224.727
,,9,14,34.8,26.9,223.375,397.434
,,15,20,38.5,33.3,296.322,586.25
,,20,25,41.1,40.0,311.257,606.088
,,25,30,41.8,41.1,337.354,540.995
s08_08June2017_fifth,10,0,10,23.2,18.8,NaN,120.517
,,5,15,26.7,20.6,NaN,163.626
,,10,20,27.6,22.8,140.437,256.604
,,15,25,31.7,27.8,198.15,394.538
,,20,30,38.4,35.0,302.346,566.82
,,22,32,41.1,40.2,320.22,623.786
,,28,38,41.1,41.4,306.964,543.993
s09_09June2017_first,15,0,15,31.308,23.7,NaN,NaN
,,4,19,33.5,26.3,NaN,NaN
,,9,24,35.2,31.5,257.769,432.016
,,14,29,39.3,36.0,263.327,492.535
,,19,34,43.6,43.2,303.615,560.051
,,23,38,47.9,44.6,343.374,564.277
,,29,44,48.9,45.2,353.557,543.024
s10_09June2017_second,5,0,5,21.1,19.2,NaN,102.035
,,5,10,21.9,20.5,87.607,146.221
,,10,15,26.0,23.5,137.427,247.207
,,15,20,29.5,22.3,237.622,467
,,20,25,34.3,27.8,264.269,485.016
,,25,30,40.4,36.2,268.216,562.681
,,30,35,43.8,40.6,304.711,516.598
,,35,40,44.4,43.3,318.542,419.563
,,40,45,42.6,41.7,NaN,NaN
Scombo_1,5,5,5,NaN,NaN,93.716,138.042
,5,5,5,NaN,NaN,165.297,174.209
,10,10,10,NaN,NaN,112.233,150.194
,10,10,10,NaN,NaN,144.126,155.938
,15,15,15,NaN,NaN,161.831,235.924
,20,20,20,NaN,NaN,329.382,673.754
,20,20,20,NaN,NaN,219.053,549.68
,15,15,15,NaN,NaN,177.192,292.001
,20,20,20,NaN,NaN,259.764,474.785
,15,15,15,NaN,NaN,151.195,288.359
,10,10,10,NaN,NaN,206.737,337.834
,5,5,5,NaN,NaN,94.86,79.684
,5,5,5,NaN,NaN,157.553,174.262
,5,5,5,NaN,NaN,70.659,76.962
,5,5,5,NaN,NaN,124.585,90.422
,15,15,15,NaN,NaN,176.016,318.116
,15,15,15,NaN,NaN,169.702,239.77
,10,10,10,NaN,NaN,155.993,256.19
,10,10,10,NaN,NaN,160.378,287.27
,20,20,20,NaN,NaN,212.478,380.071
,15,15,15,NaN,NaN,162.946,224.123
,20,20,20,NaN,NaN,244.27,411.278
,20,20,20,NaN,NaN,287.134,480.192
,20,20,20,NaN,NaN,215.517,324.883
,15,15,15,NaN,NaN,146.473,NaN
,5,5,5,NaN,NaN,98.445,84.785
,5,5,5,NaN,NaN,136.778,224.182
,15,15,15,NaN,NaN,136.38,268.262
,10,10,10,NaN,NaN,166.196,207.101
,5,5,5,NaN,NaN,143.187,NaN